,Unnamed: 0,date,plant_id,tray,plant_area,plant_convex_hull_area,plant_solidity,plant_perimeter,plant_width,plant_height,plant_longest_path,plant_convex_hull_vertices,plant_ellipse_major_axis,plant_ellipse_minor_axis,plant_ellipse_angle,plant_ellipse_eccentricity,total_plants
34,34,Jun-19-2023,plant34,T01,485,560,0.866071428571428,110.568541526794,21,42,271,16,41.1017456054687,17.2630462646484,8.62303161621093,0.907520578762871,55
35,35,Jun-19-2023,plant35,T01,818,844.5,0.968620485494375,130.911687374115,52,24,366,18,56.5893669128418,18.0573234558105,75.936408996582,0.947723094664216,55
36,36,Jun-19-2023,plant36,T01,79,66,1.19696969696969,30.1421353816986,9,11,68,10,10.1596622467041,8.34210777282714,166.344055175781,0.570783075037679,55
37,37,Jun-19-2023,plant37,T01,349,502,0.695219123505976,136.140402555465,23,42,301,16,47.2498245239257,12.9966964721679,19.9315795898437,0.961426095227641,55
38,38,Jun-19-2023,plant38,T01,219,280.5,0.780748663101604,104.397212386131,16,28,184,13,30.7694797515869,11.2912483215332,165.108963012695,0.93023569564708,55
39,39,Jun-19-2023,plant39,T01,113,214.5,0.526806526806526,81.4681911468505,21,24,187,9,26.9078903198242,10.7915811538696,140.887115478515,0.916053370722183,55
40,40,Jun-19-2023,plant40,T01,295,396,0.744949494949494,95.2548332214355,29,30,233,14,38.070930480957,12.7599716186523,44.9140892028808,0.942160117449311,55
41,41,Jun-19-2023,plant41,T01,538,630,0.853968253968253,117.740114450454,21,43,294,17,45.243724822998,16.8447113037109,172.309829711914,0.928108254919635,55
42,42,Jun-19-2023,plant42,T01,386,416,0.927884615384615,98.0832602977752,38,22,268,16,41.289867401123,12.6530179977417,67.3684158325195,0.95188879842941,55
43,43,Jun-19-2023,plant43,T01,685,799.5,0.856785490931832,131.740114450454,40,37,319,13,50.3972549438476,19.4432563781738,48.2077255249023,0.922582478756565,55
44,44,Jun-19-2023,plant44,T01,477,514.5,0.927113702623906,107.941124916076,45,16,309,14,47.8106575012207,13.2684097290039,97.7307739257812,0.960719883914393,55
45,45,Jun-19-2023,plant45,T01,533,761.5,0.699934340118187,132.083260297775,40,31,283,18,39.5654907226562,24.4148712158203,117.503036499023,0.786904421303924,55
46,46,Jun-19-2023,plant46,T01,589,664,0.887048192771084,116.811182141304,22,43,294,16,45.1362380981445,17.6679592132568,10.5381498336792,0.920205233640924,55
47,47,Jun-19-2023,plant47,T01,380,429.5,0.884749708963911,90.0832602977752,30,27,240,15,33.8993759155273,14.7646884918212,129.734985351562,0.900167175215715,55
48,48,Jun-19-2023,plant48,T01,434,563.5,0.770186335403726,149.597224354743,17,44,150,14,46.9060363769531,15.2648763656616,175.584838867187,0.945564337432255,55
49,49,Jun-19-2023,plant49,T01,391,568,0.68838028169014,145.78783082962,35,31,284,12,42.1016006469726,16.5521011352539,126.196067810058,0.91947580238067,55
50,50,Jun-19-2023,plant50,T01,331,461,0.718004338394793,131.53700864315,31,30,259,17,37.6864051818847,15.5739603042602,134.785812377929,0.91061697062936,55
51,51,Jun-19-2023,plant51,T01,457,521.5,0.876318312559923,107.740114450454,41,25,285,16,45.6874504089355,14.0928297042846,114.522483825683,0.951236755501101,55
52,52,Jun-19-2023,plant52,T01,641,707,0.906647807637906,119.497473835945,46,24,329,16,48.3476028442382,17.6999797821044,107.021301269531,0.930576147072621,55
53,53,Jun-19-2023,plant53,T01,557,588,0.947278911564625,112.669046759605,23,41,281,14,47.2734146118164,15.091438293457,162.914916992187,0.947674802922344,55
54,54,Jun-19-2023,plant54,T01,506,583.5,0.867180805484147,125.254833221435,49,23,350,17,56.2971687316894,13.1319465637207,105.61131286621,0.972414109695401,55
55,0,Jun-20-2023,plant0,T01,799,1076,0.742565055762081,179.095452904701,57,39,445,18,61.4158096313476,20.7437515258789,122.41926574707,0.941232573831034,55
56,1,Jun-20-2023,plant1,T01,1029,1265,0.813438735177865,188.509666442871,64,44,497,16,79.6575622558593,18.8298759460449,119.815315246582,0.971659402631426,55
57,2,Jun-20-2023,plant2,T01,734,941,0.780021253985122,156.124890446662,25,50,318,12,50.0919036865234,22.9554977416992,179.139739990234,0.888814257164433,55
58,3,Jun-20-2023,plant3,T01,804,1130,0.711504424778761,238.977000951766,30,55,392,14,50.2761421203613,25.4256153106689,9.78431987762451,0.862698088209782,55
59,4,Jun-20-2023,plant4,T01,905,1182,0.76565143824027,179.639609217643,39,48,327,15,45.7014083862304,32.7738037109375,26.5613327026367,0.69694049032879,55
60,5,Jun-20-2023,plant5,T01,806,1089,0.740128558310376,162.468036293983,44,41,344,17,50.5255432128906,27.4127445220947,138.604095458984,0.840022090491767,55
61,6,Jun-20-2023,plant6,T01,572,699,0.818311874105865,129.296463370323,40,30,293,17,43.6301231384277,19.3072566986084,62.4769020080566,0.896758017462796,55
62,7,Jun-20-2023,plant7,T01,899,1227.5,0.732382892057026,168.124890446662,41,52,398,19,55.0243911743164,27.1941318511962,29.8612461090087,0.869337103983648,55
63,8,Jun-20-2023,plant8,T01,870,1098.5,0.791989076012744,155.296463370323,51,41,388,18,61.0007553100585,21.9784717559814,54.1630973815918,0.932837121800715,55
64,9,Jun-20-2023,plant9,T01,820,1040.5,0.788082652570879,224.057171821594,54,30,384,20,55.1212463378906,22.8081912994384,77.1821899414062,0.910375900443501,55
65,10,Jun-20-2023,plant10,T01,674,913,0.738225629791894,142.610171675682,30,46,311,14,44.731273651123,26.0870952606201,15.3349781036376,0.812331549141213,55
66,11,Jun-20-2023,plant11,T01,785,784.5,1.0006373486297,118.568541526794,44,23,280,15,44.5454177856445,21.8361663818359,92.3372192382812,0.871609948970218,55
67,12,Jun-20-2023,plant12,T01,1090,1256,0.867834394904458,168.468036293983,57,39,458,15,68.7947845458984,22.6093959808349,116.424781799316,0.944451837133318,55
