date,plant_id,tray_id,LFW_g,LDW_g,LA_mm2,actual_height_cm,area,perimeter,width,length,convex_hull,compactness,R_channel,G_channel,B_channel,H_channel,S_channel,V_channel,height_cm_max,height_cm_mode,e_minoraxis,e_majoraxis,e_eccentricity
07-Jul,10,2,108.06,4.94,980.85,13.3,20881.5,627.7127649,183,165,22874,0.912892367,67,68,34,31,140,69,11.4,10.4,154.5892181,177.2011719,0.488803555
07-Jul,11,2,111.94,5.58,960.89,13.8,24779.5,688.8843378,198,167,26919,0.920520822,68,68,34,30,144,70,13.6,10.6,161.4478302,201.2426453,0.596982092
07-Jul,12,2,96.6,5.14,955.47,12.6,20946.5,594.1980461,189,160,22010.5,0.951659435,74,71,39,27,134,75,11,9.8,151.4306641,179.063446,0.533687744
07-Jul,13,2,109.83,5.96,1023.2,13.1,19808.5,589.7716399,180,164,21268.5,0.93135388,73,72,38,29,136,74,10.9,9.8,148.0170898,175.6551819,0.538450533
07-Jul,14,2,80.4,4.3,800.07,12.8,15923,521.3868639,149,156,17032,0.934887271,71,72,40,31,129,73,7.7,6.5,139.6582642,149.5558624,0.357743063
07-Jul,15,2,99.93,5.32,842.99,12.6,19992,623.6122596,174,171,21670,0.922565759,67,69,37,32,131,69,9.5,8.9,157.3853455,168.578598,0.358311292
07-Jul,16,2,115.02,5.74,980.2,12,22518,682.0975409,197,175,25157.5,0.89508099,69,69,34,30,142,71,11.3,10.2,163.0468903,185.595993,0.477734318
07-Jul,17,2,85.16,4.61,755.07,10.7,22016.5,681.9970356,201,168,24926,0.883274492,71,69,36,29,140,72,11.1,8.2,157.1997223,187.0692291,0.542076522
07-Jul,18,2,107.84,5.49,1029.75,14.2,21634.5,648.3401815,201,168,24240,0.892512376,74,72,35,28,147,75,11.8,10,154.6327667,187.1273651,0.563156348
07-Jul,19,2,94.57,5.29,761.97,9.2,19416,587.8721452,163,174,20954,0.926601126,75,73,45,29,112,76,8.2,6.5,153.0236816,166.9470367,0.399805121
07-Jul,20,2,136.49,6.93,1226.84,14.5,21795.5,649.9970356,181,179,24257,0.898524137,66,68,34,31,140,68,12.1,9.3,162.9287109,178.4151459,0.407511672
07-Jul,21,2,109.66,5.84,937.6,11.5,22767.5,668.3990566,197,169,25437,0.895054448,70,70,35,30,142,72,10.4,8.3,161.3872223,189.4681396,0.523882045
07-Jul,22,2,57.92,3.17,604.2,11.2,17231.5,615.7716399,201,144,20044.5,0.859662251,75,75,33,31,154,77,11.6,9.6,132.2013855,178.3800049,0.671370131
07-Jul,23,2,108.72,5.57,936.73,13.7,24076.5,688.8254627,218,175,26597.5,0.905216656,70,67,34,28,144,71,12.6,10.2,162.2339325,197.5829163,0.570794557
07-Jul,24,2,94.28,5.21,864.59,12.5,20060,613.2691138,166,172,21638.5,0.927051321,76,73,39,28,135,76,11.2,10.3,151.4104614,176.3542633,0.512715524
07-Jul,25,2,111.5,5.82,912.26,12.5,22115,619.8132701,164,193,23471,0.942226577,76,74,40,28,130,76,11.1,8.7,157.5454559,184.2087097,0.518207055
07-Jul,26,2,102.85,5.48,951.28,12.4,24206.5,643.9970356,186,195,25827.5,0.937237441,75,73,35,29,148,76,10,7.8,165.6542664,192.5971375,0.51011261
07-Jul,27,2,114.5,6.1,1028.16,13.7,25869.5,685.7960252,221,182,27822.5,0.929805014,71,70,34,29,147,73,14.6,11.3,159.4614868,214.8454132,0.670161849
07-Jul,1,3,109.69,5.98,968.16,12.6,23163,651.2102387,199,187,24509.5,0.945062119,63,64,32,31,141,65,12.3,11.5,158.9976501,193.2449646,0.568363294
07-Jul,2,3,92.52,5.12,906.72,11.9,17754,590.0142806,162,154,19757,0.898618211,65,67,40,32,116,68,10.3,9.1,141.8362885,168.220993,0.537671347
07-Jul,3,3,74.66,4.2,685.55,12.8,13601,517.2447286,156,134,15173.5,0.896365374,62,67,39,36,122,67,10.4,9.5,125.5801773,145.6481476,0.506540623
07-Jul,4,3,99.88,5.4,920.43,11.5,19305,572.9015827,161,173,20597.5,0.937249666,63,65,37,33,124,66,10.6,9.4,151.7722626,165.8976135,0.403782508
