date,plant_id,tray_id,LFW_g,LDW_g,LA_mm2,manual_height_cm,area,perimeter,width,length,convex_hull,compactness,R_channel,G_channel,B_channel,H_channel,S_channel,V_channel,height_cm_max,height_cm_mode,e_minoraxis,e_majoraxis,e_eccentricity
23/02/2023,16,2,80.86,4.39,1102.24,15.2,18762,594.984843,167,178,20567,0.912238051,64,67,23,32,181,67,11.3,9.7,144.589386,175.230011,0.564927507
23/02/2023,18,2,110.57,5.69,1369.84,15.5,28066.5,859.8792855,203,208,32138,0.873311967,57,61,18,33,195,61,12.1,9.8,185.2445221,199.7990112,0.374679615
23/02/2023,20,2,139,6.37,1648.09,18,28906.5,769.0508584,217,204,31815.5,0.908566579,58,62,20,32,187,62,17.8,15.1,190.4214172,201.8431091,0.331620073
23/02/2023,22,2,127.61,6.19,1513.58,17.1,32027.5,896.908723,243,200,37415.5,0.85599551,48,53,12,33,207,53,18.8,14.8,180.1061249,241.8656311,0.667451079
23/02/2023,24,2,127.5,5.76,1499.42,17.3,28058,716.7838326,234,183,30274.5,0.92678657,62,64,22,31,178,64,16.7,14.8,173.6233673,215.9221649,0.594491842
23/02/2023,26,2,82.4,4.04,1083.8,16.5,17689.5,569.0853482,172,165,19325,0.915368693,64,66,24,31,177,66,13.1,12.5,137.6281891,172.1366272,0.600627768
23/02/2023,28,2,143.88,6.53,1732.2,18.1,25261.5,684.139171,194,202,27484.5,0.919118048,60,63,20,31,186,63,13.5,12.7,176.9893799,188.0276947,0.337587344
23/02/2023,30,2,90.09,4.21,1171.28,16.4,17585,600.2985513,164,150,19607.5,0.896850695,56,60,17,33,197,60,13.5,12.9,142.9748688,164.7918701,0.497247477
23/02/2023,32,2,156.82,7.07,1838.08,18.3,34163,858.2640615,253,212,38788,0.880762091,52,56,14,33,202,56,19,14.8,189.0161896,243.4645081,0.63028931
23/02/2023,34,2,121.68,6.01,1506.79,17.5,28950.5,751.7960252,261,173,31396,0.922107912,53,55,15,32,199,56,18.2,16.1,157.5093231,243.9287567,0.763575506
23/02/2023,36,2,101.91,4.81,1276.67,16,23598,706.7249575,202,174,25887.5,0.911559633,60,62,18,31,193,62,15.4,13.6,153.0406494,202.1361237,0.653279568
23/02/2023,38,2,77.56,4.07,1058.63,15.5,18720,626.4995618,164,155,20761,0.90169067,60,62,20,32,187,62,10,9.1,155.3737946,162.2876434,0.288773101
23/02/2023,40,2,158.65,6.94,1724.83,17.7,25390,750.6660824,194,202,28364.5,0.895133001,59,62,22,32,179,62,14.5,13.1,181.785965,185.9984741,0.211620493
23/02/2023,42,2,118.44,5.48,1459.66,17.3,22570,719.1269784,210,166,26560.5,0.849758099,56,60,18,32,195,60,15.7,14.5,150.1508179,208.7915955,0.694863079
23/02/2023,44,2,131.86,6.04,1478.94,16,30713.5,869.8792855,237,187,34469,0.891047028,52,57,19,34,182,57,20.3,16.3,171.8108215,238.550354,0.693736663
23/02/2023,46,2,68.37,3.53,892.01,13.5,19708.5,666.1980461,185,159,22437,0.878392833,61,64,22,32,180,64,12.7,11.2,144.643158,183.6406097,0.616132465
23/02/2023,48,2,101.73,4.8,1205.07,15,20265.5,654.2569212,178,195,23291,0.870100039,58,59,19,30,188,60,13.2,12,154.4160309,178.7736511,0.503917789
23/02/2023,50,2,113.93,5.65,1398.31,16.1,24204.5,687.9970356,180,208,26658.5,0.907946809,54,56,17,31,193,56,13,12.5,161.2783051,199.6323547,0.589351697
23/02/2023,52,2,59.36,3.01,828.45,14.8,13083.5,630.8254627,152,141,17004.5,0.769413979,55,58,18,32,191,58,11.4,10.5,121.945076,158.8371735,0.640765836
23/02/2023,54,2,81.36,4.22,1040.39,15.9,18782.5,723.4528793,201,157,22711,0.827022148,59,64,22,33,181,64,14.9,12,135.9702301,194.4598999,0.714906668
23/02/2023,2,3,99.42,4.7,1220.28,15.9,25802,729.3523741,206,187,28381.5,0.909113331,62,64,23,31,176,64,14.6,12.6,159.749939,213.7381287,0.664363471
23/02/2023,4,3,108.82,5.24,1325.2,16.5,24292,735.2102387,191,188,27570.5,0.881086669,60,61,21,31,183,62,14.8,13.2,167.9353485,193.7830811,0.498977183
23/02/2023,6,3,119.75,5.67,1417.05,17.5,21492,649.9554055,179,175,23961.5,0.896938839,62,65,23,32,175,65,14,12.5,165.8939056,172.2942657,0.270029112
23/02/2023,8,3,136.97,6.18,1593.72,17.3,26940.5,748.7665876,193,209,29478,0.913918855,60,62,23,32,176,63,16.2,14.9,175.953125,203.6031189,0.503154271
23/02/2023,10,3,144.34,6.71,1704.32,16.8,32136.5,795.7371501,243,207,34861.5,0.921833541,57,61,20,32,183,61,18.1,14.8,180.7045288,233.3022308,0.632511185
23/02/2023,12,3,139.75,6.48,1592.71,17.8,33237,872.9503531,276,182,37681.5,0.882050874,61,62,23,30,172,62,20.2,17.5,165.2120514,268.8323059,0.788874517
23/02/2023,14,3,146.06,6.67,1692.82,17.7,30000.5,739.1097335,220,206,31879.5,0.941059301,64,64,24,30,175,65,17.1,16.1,180.7362976,216.317215,0.549467499
23/02/2023,16,3,119.49,5.71,1458.47,17.7,22621,656.3818116,184,184,24694,0.916052482,61,64,22,32,180,64,13.5,12.5,168.9354095,175.7551727,0.275861593
23/02/2023,18,3,116,5.49,1365.43,17,23044,683.0681033,182,171,25360,0.908675079,61,64,22,32,183,64,14.1,13,168.8581696,180.5429382,0.353909069
23/02/2023,20,3,118.46,5.63,1420.43,17.4,25973,736.8670928,209,188,29703.5,0.87440874,61,64,22,32,182,64,16.6,14.8,179.5311127,201.9512024,0.457940901
23/02/2023,22,3,120.81,5.63,1467.52,17.6,26802.5,865.1929938,229,187,32819,0.816676316,59,62,20,32,184,62,18.8,14.8,162.1128693,229.9820251,0.709313007
23/02/2023,24,3,108.6,5.36,1385.42,17,24664,743.2102387,220,174,28243,0.873278334,64,65,24,30,175,65,17.8,15.8,159.7465515,209.4099121,0.646585641
23/02/2023,26,3,111.97,5.12,1318.93,16,19754,591.1269784,184,156,21157.5,0.933664185,58,60,20,31,184,61,13.5,12.5,148.9382019,172.6212006,0.505539179
23/02/2023,28,3,84.39,4.27,1083.21,16.9,17423.5,589.2274836,171,172,19613,0.88836486,61,63,22,32,179,63,9.9,9.3,151.6489105,156.2648468,0.241258797
23/02/2023,30,3,115.08,5.4,1398.72,17,21644,674.4406867,198,177,24732,0.875141517,61,64,22,32,182,64,14.2,13.2,156.6384125,186.7304993,0.544366487
23/02/2023,32,3,111.65,5.33,1414.99,17,25842,858.4650719,218,187,30818,0.838535921,60,63,23,32,174,63,16.4,15.1,171.6923981,209.9039307,0.575279305
23/02/2023,34,3,157.4,7.13,1814.25,18.2,30845.5,799.5361396,249,185,33746.5,0.91403553,59,60,21,31,178,61,23,16.7,177.4477234,236.3655243,0.660604195
23/02/2023,36,3,137.99,6.21,1613.93,18.8,23819,663.9554055,194,183,25827.5,0.922234053,64,64,25,29,169,65,17.8,16.4,158.7614288,197.7683716,0.596296193
23/02/2023,38,3,112.16,5.29,1397.35,16.5,19731.5,601.0853482,163,171,21455,0.919669075,59,61,22,31,178,61,13.5,12,153.2952271,171.0928345,0.444100663
23/02/2023,40,3,187.64,8.44,2139.88,18.5,29050.5,805.2518688,216,193,33110,0.877393537,56,59,20,32,183,59,15.2,14,189.6926575,205.8296204,0.38814009
23/02/2023,42,3,109.96,5.18,1320.89,16.8,22573.5,696.5411919,212,176,25831,0.873891835,61,64,23,32,179,64,15.2,13.6,161.4843597,195.8652344,0.565910498
23/02/2023,44,3,142.47,6.55,1685.42,18,30057,863.0092282,248,202,36534.5,0.82270183,56,59,21,32,180,59,18.5,16.3,168.5856781,249.770401,0.737851946
23/02/2023,46,3,57.96,3.01,726.46,13,18610.5,745.5950147,194,167,22844.5,0.814659984,64,65,25,31,168,65,11.6,8.9,138.5528259,189.4312439,0.681932774
23/02/2023,48,3,81.46,3.88,1001.79,14.8,17956.5,648.8843378,160,188,21336.5,0.841586015,59,59,20,30,183,60,12.7,11.8,139.370636,176.8525848,0.615597077
23/02/2023,50,3,140.84,6.38,1707.14,16.9,23335,668.4406867,183,194,25817.5,0.903844292,59,59,22,30,175,60,14.3,13.2,163.9922943,191.3350677,0.515158694
23/02/2023,52,3,108.17,5.25,1364.18,16.6,23258.5,656.4823169,199,179,25605,0.908357743,60,60,23,30,174,61,14.5,12.8,160.0815125,194.8614655,0.570187675
23/02/2023,54,3,64.4,3.35,812.24,14.7,17731,721.2102387,190,168,21490,0.825081433,61,65,23,32,176,65,13.8,10.2,128.3386841,192.5314178,0.745428431
07-Jul,1,1,123.17,5.41,1239.55,15.5,30358.5,939.5361396,246,209,35946.5,0.844546757,64,68,30,33,151,68,14.9,12.5,171.2613068,239.5087585,0.699070884
07-Jul,2,1,108.03,4.29,1178.83,16.4,22648.5,773.7371501,185,205,25651.5,0.882930823,66,70,33,34,144,70,11.9,9.7,157.3960266,190.7871094,0.565158273
07-Jul,3,1,110.89,5.47,1247.35,15.3,23069,737.2102387,180,216,26536.5,0.869330922,63,69,34,35,142,69,12.7,11.2,161.1418457,195.9551086,0.568995521
07-Jul,4,1,123.17,6.19,1341.36,15.6,24625,739.8376553,190,216,27874,0.883439765,62,67,31,35,148,67,12.6,11.1,164.47995,203.0608521,0.586425388
07-Jul,5,1,123.49,4.96,1300.6,16.3,31821,824.4650719,246,203,35581,0.894325623,61,66,29,34,154,66,16.6,14.1,174.3293304,242.8752594,0.696277072
07-Jul,6,1,141.58,6.64,1492.44,16.8,31726,845.0092282,234,188,35582.5,0.891618071,56,59,24,32,158,60,18.3,17,170.6791687,249.4519653,0.729278878
07-Jul,7,1,84.04,3.78,886.55,14.6,17642.5,641.2274836,186,168,20831.5,0.846914528,68,72,35,33,143,72,12.5,11,144.3089905,170.1155853,0.529516491
07-Jul,8,1,120.54,5.67,1268.6,16,23148.5,743.3107439,198,180,26624,0.869459886,63,69,35,35,138,69,12.7,11.2,169.3104553,186.5121613,0.419464662
07-Jul,9,1,97.07,4.97,1071.79,15.4,18828,619.1269784,162,181,20562.5,0.915647416,63,70,35,37,139,70,10.8,9.7,144.6741638,171.0332642,0.533368186
